Product Title;Product Version;Product Artist;Product Barcode;Product Catalog Number;Product Label;Asset Title;Asset Version;Asset Artist;Asset ISRC;Asset Duration;Sale ID;Report ID;Report Name;Sale Unit Type;Sale Type;Sale Start date;Sale End date;Sale Store Name;Sale Country;Unit Count;Royalty;Currency;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Fri;;Mares;SEWGI1801502;263;953875891;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;AU;2;0,139222728;SEK;;;
Höga klackar;O2H remix;Mares;7,07125E+12;HYBR165REMIX;Hybris;Höga klackar;O2H remix;Mares;SEWGI1602401;208;953875836;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;1;0,053462663;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Rock'n'Roll Will Never Die;;Mares;SEWGI1801504;251;953875828;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;18;0,16506334;SEK;;;
Höga klackar;;Mares;7,07125E+12;HYBR165;Hybris;Höga klackar;;Mares;SEWGI1605001;181;953875827;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;84;0,770295588;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953875826;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;27;0,700616618;SEK;;;
Freddie;;Mares;7,07125E+12;HYBR7071245386337;Hybris;Freddie;;Mares;SEWGI1801901;172;953873920;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;GB;5;0,278915648;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953873907;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;GB;2;0,111566261;SEK;;;
Allt du gör och att du finns;;Mares;7,07125E+12;HYBR7071245201470;Hybris;Allt du gör och att du finns;;Mares;SEWGI1509001;260;953873902;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;GB;3;0,254830825;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953873833;136098;;Asset;Download;2019-03-03;2019-03-30;iTunes;DE;1;4,97284;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Allt vi har är tid;;Mares;SEWGI1801503;250;953873738;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;GB;1;0,055783126;SEK;;;
